,Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6
0,7.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
1,4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
2,17.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
3,2.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
4,8.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
5,21.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
6,8.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
7,0.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
8,15.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
9,18.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
10,12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
11,9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
12,3.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
13,23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
14,17.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
15,8.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
16,17.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
17,6.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
18,24.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
19,18.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
20,19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
21,12.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
22,19.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
23,22.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
24,18.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
25,13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
26,12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
27,8.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
28,7.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
29,22.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
30,15.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
31,15.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
32,5.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
33,10.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
34,10.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
35,4.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
36,9.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
37,16.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
38,21.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
39,11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
40,11.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
41,22.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
42,16.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
43,7.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
44,14.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
45,16.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
46,12.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
47,21.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
48,24.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
49,9.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
50,2.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
51,12.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
52,12.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
53,7.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
54,10.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
55,22.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
56,7.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
57,13.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
58,8.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
59,5.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
60,19.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
61,11.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
62,10.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
63,13.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
64,24.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
65,16.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
66,13.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
67,6.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
68,17.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
69,5.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
70,19.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
71,11.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
72,11.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
73,3.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
74,10.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
75,18.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
76,16.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
77,20.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
78,6.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
79,2.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
80,11.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
81,8.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
82,1.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
83,10.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
84,20.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
85,6.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
86,7.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
87,15.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
88,15.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
89,16.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
90,4.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
91,3.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
92,11.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
93,7.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
94,18.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
95,5.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
96,3.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
97,13.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
98,21.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
99,15.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
100,12.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
101,23.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
102,24.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
103,17.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
104,11.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
105,13.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
106,23.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
107,18.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
108,17.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
109,12.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
110,7.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
111,7.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
112,5.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
113,16.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
114,17.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
115,16.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
116,9.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
117,6.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
118,7.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
119,8.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
120,19.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
121,10.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
122,19.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
123,8.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
124,16.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
125,17.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
126,20.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
127,15.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
128,15.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
129,11.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
130,12.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
131,4.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
132,15.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
133,1.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
134,22.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
135,8.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
136,23.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
137,3.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
138,12.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
139,6.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
140,9.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
141,5.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
142,22.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
143,13.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
144,11.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
145,7.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
146,10.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
147,20.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
148,22.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
149,17.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
150,15.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
151,15.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
152,18.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
153,23.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
154,18.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
