,Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6
0,4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
1,2.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
2,8.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
3,22.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
4,21.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
5,0.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
6,15.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
7,18.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
8,12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
9,3.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
10,23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
11,17.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
12,17.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
13,24.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
14,18.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
15,19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
16,12.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
17,19.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
18,22.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
19,18.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
20,13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
21,12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
22,8.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
23,22.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
24,3.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
25,15.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
26,15.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
27,18.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
28,5.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
29,1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
30,10.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
31,4.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
32,9.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
33,6.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
34,21.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
35,11.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
36,10.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
37,7.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
38,14.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
39,16.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
40,24.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
41,9.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
42,2.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
43,12.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
44,7.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
45,12.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
46,17.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
47,10.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
48,6.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
49,22.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
50,7.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
51,13.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
52,5.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
53,11.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
54,19.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
55,11.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
56,13.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
57,24.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
58,16.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
59,7.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
60,13.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
61,6.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
62,17.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
63,19.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
64,11.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
65,11.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
66,8.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
67,10.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
