Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,exceptionality,sparsity,fidelity,num_cfs,uncertainty,Value,Found
2,"[21, 1, 10, 11, 12, 15, 16, 17]","[17, 17, 10, 11, 12, 15, 16, 17]",Agent: 21 Goal: 1 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 17 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
4,"[8, 8, 10, 11, 12, 15, 16, 17]","[17, 6, 10, 11, 12, 15, 16, 17]",Agent: 8 Goal: 8 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 6 Frozen: [10 11 12 15 16 17],"[3, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
14,"[9, 3, 10, 11, 12, 15, 16, 17]","[9, 9, 10, 11, 12, 15, 16, 17]",Agent: 9 Goal: 3 Frozen: [10 11 12 15 16 17],Agent: 9 Goal: 9 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
16,"[3, 3, 10, 11, 12, 15, 16, 17]","[24, 24, 10, 11, 12, 15, 16, 17]",Agent: 3 Goal: 3 Frozen: [10 11 12 15 16 17],Agent: 24 Goal: 24 Frozen: [10 11 12 15 16 17],"[3, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
21,"[12, 12, 10, 11, 12, 15, 16, 17]","[6, 15, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 12 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 15 Frozen: [10 11 12 15 16 17],"[0, 0, 1]",,1.0,1.0,1.0,1,1.0,0,0
32,"[18, 20, 10, 11, 12, 15, 16, 17]","[7, 13, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 20 Frozen: [10 11 12 15 16 17],Agent: 7 Goal: 13 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
40,"[6, 6, 10, 11, 12, 15, 16, 17]","[10, 4, 10, 11, 12, 15, 16, 17]",Agent: 6 Goal: 6 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 4 Frozen: [10 11 12 15 16 17],"[3, 2, 2]",,1.0,1.0,1.0,1,1.0,0,0
45,"[7, 5, 10, 11, 12, 15, 16, 17]","[16, 16, 10, 11, 12, 15, 16, 17]",Agent: 7 Goal: 5 Frozen: [10 11 12 15 16 17],Agent: 16 Goal: 16 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
47,"[6, 18, 10, 11, 12, 15, 16, 17]","[11, 11, 10, 11, 12, 15, 16, 17]",Agent: 6 Goal: 18 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 11 Frozen: [10 11 12 15 16 17],"[1, 1, 0]",,1.0,1.0,1.0,1,1.0,0,0
50,"[0, 0, 10, 11, 12, 15, 16, 17]","[11, 23, 10, 11, 12, 15, 16, 17]",Agent: 0 Goal: 0 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 23 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
51,"[15, 10, 10, 11, 12, 15, 16, 17]","[22, 18, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 10 Frozen: [10 11 12 15 16 17],Agent: 22 Goal: 18 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
52,"[15, 15, 10, 11, 12, 15, 16, 17]","[16, 21, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 15 Frozen: [10 11 12 15 16 17],Agent: 16 Goal: 21 Frozen: [10 11 12 15 16 17],"[2, 2, 3]",,1.0,1.0,1.0,1,1.0,0,0
57,"[12, 2, 10, 11, 12, 15, 16, 17]","[21, 21, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 2 Frozen: [10 11 12 15 16 17],Agent: 21 Goal: 21 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
58,"[17, 0, 10, 11, 12, 15, 16, 17]","[12, 23, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 0 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 23 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
62,"[3, 2, 10, 11, 12, 15, 16, 17]","[10, 10, 10, 11, 12, 15, 16, 17]",Agent: 3 Goal: 2 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 10 Frozen: [10 11 12 15 16 17],"[3, 3, 2]",,1.0,1.0,1.0,1,1.0,0,0
63,"[17, 12, 10, 11, 12, 15, 16, 17]","[13, 7, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 12 Frozen: [10 11 12 15 16 17],Agent: 13 Goal: 7 Frozen: [10 11 12 15 16 17],"[0, 0, 3]",,1.0,1.0,1.0,1,1.0,0,0
66,"[16, 16, 10, 11, 12, 15, 16, 17]","[12, 6, 10, 11, 12, 15, 16, 17]",Agent: 16 Goal: 16 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 6 Frozen: [10 11 12 15 16 17],"[3, 2, 2]",,1.0,1.0,1.0,1,1.0,0,0
74,"[15, 21, 10, 11, 12, 15, 16, 17]","[6, 2, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 21 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 2 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
76,"[12, 19, 10, 11, 12, 15, 16, 17]","[8, 14, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 19 Frozen: [10 11 12 15 16 17],Agent: 8 Goal: 14 Frozen: [10 11 12 15 16 17],"[1, 0, 1]",,1.0,1.0,1.0,1,1.0,0,0
81,"[5, 4, 10, 11, 12, 15, 16, 17]","[10, 22, 10, 11, 12, 15, 16, 17]",Agent: 5 Goal: 4 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 22 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
90,"[9, 9, 10, 11, 12, 15, 16, 17]","[5, 4, 10, 11, 12, 15, 16, 17]",Agent: 9 Goal: 9 Frozen: [10 11 12 15 16 17],Agent: 5 Goal: 4 Frozen: [10 11 12 15 16 17],"[0, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
106,"[6, 5, 10, 11, 12, 15, 16, 17]","[10, 15, 10, 11, 12, 15, 16, 17]",Agent: 6 Goal: 5 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 15 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
109,"[18, 11, 10, 11, 12, 15, 16, 17]","[12, 19, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 11 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 19 Frozen: [10 11 12 15 16 17],"[3, 2, 2]",,1.0,1.0,1.0,1,1.0,0,0
112,"[10, 22, 10, 11, 12, 15, 16, 17]","[15, 10, 10, 11, 12, 15, 16, 17]",Agent: 10 Goal: 22 Frozen: [10 11 12 15 16 17],Agent: 15 Goal: 10 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
117,"[12, 23, 10, 11, 12, 15, 16, 17]","[3, 8, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 23 Frozen: [10 11 12 15 16 17],Agent: 3 Goal: 8 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
119,"[23, 19, 10, 11, 12, 15, 16, 17]","[17, 12, 10, 11, 12, 15, 16, 17]",Agent: 23 Goal: 19 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 12 Frozen: [10 11 12 15 16 17],"[1, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
