Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,exceptionality,sparsity,fidelity,num_cfs,uncertainty,Value,Found
0,"[10, 18, 10, 11, 12, 15, 16, 17]","[13, 12, 10, 11, 12, 15, 16, 17]",Agent: 10 Goal: 18 Frozen: [10 11 12 15 16 17],Agent: 13 Goal: 12 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
2,"[21, 1, 10, 11, 12, 15, 16, 17]","[17, 17, 10, 11, 12, 15, 16, 17]",Agent: 21 Goal: 1 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 17 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
10,"[8, 5, 10, 11, 12, 15, 16, 17]","[0, 0, 10, 11, 12, 15, 16, 17]",Agent: 8 Goal: 5 Frozen: [10 11 12 15 16 17],Agent: 0 Goal: 0 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
11,"[2, 1, 10, 11, 12, 15, 16, 17]","[15, 8, 10, 11, 12, 15, 16, 17]",Agent: 2 Goal: 1 Frozen: [10 11 12 15 16 17],Agent: 15 Goal: 8 Frozen: [10 11 12 15 16 17],"[2, 3, 2]",,1.0,1.0,1.0,1,1.0,0,0
15,"[10, 10, 10, 11, 12, 15, 16, 17]","[3, 2, 10, 11, 12, 15, 16, 17]",Agent: 10 Goal: 10 Frozen: [10 11 12 15 16 17],Agent: 3 Goal: 2 Frozen: [10 11 12 15 16 17],"[3, 2, 3]",,1.0,1.0,1.0,1,1.0,0,0
20,"[4, 4, 10, 11, 12, 15, 16, 17]","[17, 7, 10, 11, 12, 15, 16, 17]",Agent: 4 Goal: 4 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 7 Frozen: [10 11 12 15 16 17],"[0, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
25,"[13, 15, 10, 11, 12, 15, 16, 17]","[12, 0, 10, 11, 12, 15, 16, 17]",Agent: 13 Goal: 15 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 0 Frozen: [10 11 12 15 16 17],"[1, 1, 2]",,1.0,1.0,1.0,1,1.0,0,0
38,"[13, 12, 10, 11, 12, 15, 16, 17]","[5, 5, 10, 11, 12, 15, 16, 17]",Agent: 13 Goal: 12 Frozen: [10 11 12 15 16 17],Agent: 5 Goal: 5 Frozen: [10 11 12 15 16 17],"[3, 3, 4]",,1.0,1.0,1.0,1,1.0,0,0
42,"[24, 20, 10, 11, 12, 15, 16, 17]","[4, 0, 10, 11, 12, 15, 16, 17]",Agent: 24 Goal: 20 Frozen: [10 11 12 15 16 17],Agent: 4 Goal: 0 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
44,"[11, 5, 10, 11, 12, 15, 16, 17]","[6, 0, 10, 11, 12, 15, 16, 17]",Agent: 11 Goal: 5 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 0 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
