,Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6
0,7.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
1,17.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
2,2.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
3,8.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
4,22.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
5,21.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
6,8.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
7,0.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
8,15.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
9,18.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
10,3.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
11,17.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
12,8.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
13,17.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
14,6.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
15,24.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
16,18.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
17,12.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
18,19.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
19,22.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
20,18.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
21,8.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
22,7.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
23,22.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
24,3.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
25,15.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
26,15.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
27,18.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
28,5.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
29,10.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
30,4.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
31,6.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
32,16.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
33,21.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
34,11.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
35,10.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
36,11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
37,22.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
38,16.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
39,14.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
40,16.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
41,21.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
42,9.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
43,13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
44,23.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
45,12.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
46,12.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
47,17.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
48,10.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
49,22.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
50,7.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
51,6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
