,Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6
0,7.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
1,4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
2,17.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
3,2.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
4,8.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
5,22.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
6,21.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
7,8.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
8,18.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
9,12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
10,9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
11,24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
12,23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
13,17.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
14,8.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
15,6.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
16,24.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
17,18.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
18,19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
19,19.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
20,22.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
21,18.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
22,13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
23,12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
24,8.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
25,7.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
26,22.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
27,3.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
28,15.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
29,15.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
30,18.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
31,1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
32,10.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
33,10.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
34,9.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
35,16.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
36,21.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
37,11.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
38,11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
39,14.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
40,16.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
41,12.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
42,12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
43,13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
44,23.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
45,12.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
46,12.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
47,7.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
48,12.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
49,17.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
50,6.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
51,22.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
52,7.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
53,13.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
54,11.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
55,19.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
56,11.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
57,10.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
58,13.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
59,17.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
60,16.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
61,7.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0
62,13.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
63,6.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
64,5.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
65,19.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
66,11.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
67,11.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
68,11.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
69,8.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
70,3.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
71,10.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
72,16.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
73,20.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
74,11.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
75,1.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
76,10.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
77,1.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
78,20.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
79,12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
80,15.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0
81,16.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
82,4.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
83,11.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
84,3.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
85,11.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
86,17.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
87,9.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
88,7.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
89,18.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
90,18.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
91,11.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
92,5.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
93,3.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
94,13.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
95,12.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
96,23.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
97,17.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
98,11.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
99,13.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0
100,23.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
101,18.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0
102,17.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
103,17.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
104,12.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
105,9.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
106,7.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
107,7.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
108,9.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
109,5.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
110,16.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
111,16.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
112,10.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0
113,9.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
114,6.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
115,7.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
116,8.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
117,22.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0
118,19.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
119,8.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
120,17.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
121,20.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
122,15.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
123,18.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0
124,18.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0
125,12.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
126,20.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
127,1.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
128,22.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0
129,8.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
130,23.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0
131,3.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
132,6.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
133,6.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0
134,5.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0
135,13.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
136,11.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
137,4.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0
138,7.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0
139,22.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
140,0.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0
141,17.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0
142,15.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0
143,21.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0
144,15.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
145,11.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0
146,18.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0
147,23.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
148,12.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
149,18.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0
150,17.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0
151,3.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
152,12.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0
153,2.0,3.0,10.0,11.0,12.0,15.0,16.0,17.0
154,2.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0
